[12-Aug-2018 10:35:12 UTC] PHP Warning:  strstr(): Empty needle in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/em-posts.php on line 273
[12-Aug-2018 10:35:25 UTC] PHP Warning:  strstr(): Empty needle in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/em-posts.php on line 273
[12-Aug-2018 10:35:32 UTC] PHP Warning:  strstr(): Empty needle in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/em-posts.php on line 273
[12-Aug-2018 10:35:32 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/em-posts.php:273) in /homepages/10/d745001381/htdocs/strasbourg2/wp-admin/includes/misc.php on line 1126
[12-Aug-2018 10:35:39 UTC] PHP Warning:  strstr(): Empty needle in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/em-posts.php on line 273
[12-Aug-2018 10:35:39 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/em-posts.php:273) in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/classes/em-notices.php on line 46
[12-Aug-2018 10:35:39 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/em-posts.php:273) in /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/pluggable.php on line 1219
[15-Aug-2018 10:07:03 UTC] PHP Notice:  Undefined index: name in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/classes/em-object.php on line 1272
[15-Aug-2018 10:07:03 UTC] PHP Notice:  Undefined index: name in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/classes/em-object.php on line 1272
[15-Aug-2018 10:07:03 UTC] PHP Notice:  Undefined index: name in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/classes/em-object.php on line 1272
[15-Aug-2018 10:07:03 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/classes/em-object.php:1272) in /homepages/10/d745001381/htdocs/strasbourg2/wp-admin/includes/misc.php on line 1126
[16-Aug-2018 18:03:14 UTC] PHP Notice:  Undefined index: name in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/classes/em-object.php on line 1272
[16-Aug-2018 18:03:14 UTC] PHP Notice:  Undefined index: name in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/classes/em-object.php on line 1272
[16-Aug-2018 18:03:14 UTC] PHP Notice:  Undefined index: name in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/classes/em-object.php on line 1272
[16-Aug-2018 18:03:14 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /homepages/10/d745001381/htdocs/strasbourg2/wp-content/plugins/events-manager/classes/em-object.php:1272) in /homepages/10/d745001381/htdocs/strasbourg2/wp-admin/includes/misc.php on line 1126
[17-Aug-2018 07:43:56 UTC] PHP Notice:  Trying to get property of non-object in /homepages/10/d745001381/htdocs/strasbourg2/wp-admin/nav-menus.php on line 823
[17-Aug-2018 07:44:01 UTC] PHP Notice:  Trying to get property of non-object in /homepages/10/d745001381/htdocs/strasbourg2/wp-admin/nav-menus.php on line 823
[17-Aug-2018 07:44:07 UTC] PHP Notice:  Trying to get property of non-object in /homepages/10/d745001381/htdocs/strasbourg2/wp-admin/nav-menus.php on line 823
[17-Aug-2018 07:44:20 UTC] PHP Notice:  Trying to get property of non-object in /homepages/10/d745001381/htdocs/strasbourg2/wp-admin/nav-menus.php on line 823
[17-Aug-2018 07:44:28 UTC] PHP Notice:  Trying to get property of non-object in /homepages/10/d745001381/htdocs/strasbourg2/wp-admin/nav-menus.php on line 823
[17-Aug-2018 07:44:43 UTC] PHP Notice:  Trying to get property of non-object in /homepages/10/d745001381/htdocs/strasbourg2/wp-admin/nav-menus.php on line 823
[17-Aug-2018 17:51:42 UTC] PHP Notice:  Trying to get property of non-object in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/themes/wen-associate/inc/helper/common.php on line 159
[17-Aug-2018 17:51:42 UTC] PHP Notice:  Trying to get property of non-object in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/themes/wen-associate/inc/helper/common.php on line 159
[20-Aug-2018 09:21:36 UTC] PHP Notice:  Trying to get property of non-object in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/themes/wen-associate/inc/helper/common.php on line 159
[20-Aug-2018 09:21:36 UTC] PHP Notice:  Trying to get property of non-object in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/themes/wen-associate/inc/helper/common.php on line 159
[20-Aug-2018 12:06:21 UTC] [Loco.warning] "Le thème enfant déclare le même Text Domain que le thème parent" in src/admin/bundle/ConfController.php:95
[20-Aug-2018 12:27:39 UTC] [Loco.warning] "Le thème enfant déclare le même Text Domain que le thème parent" in src/admin/bundle/ConfController.php:95
[20-Aug-2018 14:25:37 UTC] PHP Notice:  Trying to get property of non-object in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/themes/wen-associate/inc/helper/common.php on line 159
[20-Aug-2018 14:25:37 UTC] PHP Notice:  Trying to get property of non-object in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/themes/wen-associate/inc/helper/common.php on line 159
[20-Aug-2018 14:45:44 UTC] PHP Notice:  screen_icon est <strong>obsolète</strong> depuis la version 3.8.0, aucune alternative n’est disponible. in /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/functions.php on line 3856
[20-Aug-2018 14:45:44 UTC] PHP Notice:  get_screen_icon est <strong>obsolète</strong> depuis la version 3.8.0, aucune alternative n’est disponible. in /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/functions.php on line 3856
[20-Aug-2018 14:53:56 UTC] [Loco.warning] "Le thème enfant déclare le même Text Domain que le thème parent" in src/admin/bundle/ConfController.php:95
[22-Aug-2018 05:04:40 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): Connection refused in /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/wp-db.php on line 1531
[22-Aug-2018 05:04:40 UTC] PHP Deprecated:  mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead in /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/wp-db.php on line 1562
[22-Aug-2018 05:04:40 UTC] PHP Warning:  mysql_connect(): Connection refused in /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/wp-db.php on line 1562
